PART NO,DESCRIPTION,MRP-Effective April 2022
00026584,FUEL FILTER KIT (DE005119+00026583+00026582),295
00026586,FILTER KIT (02654408+00026583+00026582),385
00026587,FILTER KIT (02654408+00026582+00026585),374
00026588,Diesel Filter Kit (1x00026582+1x00026583),198
00030306,ELEMENT OIL FILTER P4,134
00030307,ELEMENT LUB OIL FILTER,344
00030338,CAGE LUB OIL FILTER P4,55
00030339,BOWL-LUB OIL FILTER P4,406
00030348,HEAD CASTING-L O F P3TA,567
00030352,BOWL LUB OIL FILTER P3TA,429
00030602,CHAIN TIMING,1481
00030607,SPROCKET TIMING CHAIN AUTO TENSIONER,656
00030625,TENSIONER KIT,552
00030628,CHAIN TENSIONER ASSY,2676
00030631,AUTO TENSIONER WITHOUT GEAR,1658
00030854,SEAL TACHOMETER DRIVE P3/S3,43
00032346,SHAFT,597
00050012,BUSH FPD HOUSING P SERIES,485
00050013,BUSH FPD HOUSING P SERIES,372
00050014,BUSH FPD HOUSING,250
00050015,BUSH LUB OIL PUMP BODY P3,72
00050019,L.O.PUMP ASSY (SAME AS 99DE0702),4043
00050032,LEVER ROCKER R.H.ASSEMBLY,250
00050033,LEVER ROCKER L.H.ASSEMBLY,250
00050044,PISTON ASSY,1352
00050051,SUMP GASKET KIT P3,98
00050106,L.O.P.ASSY FOR P4 & P6,4285
00050132,BUSH_ROCKER_LEVER,78
00050144,PIPE FUEL INJ P6 NE,1108
00050188,PIPE SET F.I. - P4,880
00050228,MAJOR GASKET KIT P3TA,909
00050234,CONNECTING ROD ASSY(REFER 41152909 ETC),2226
00050265,BUSH_LUB_OIL_PUMP,64
00050273,MAJOR GASKET KIT P6,1520
00050276,MAJOR GASKET KIT P4,1042
00050279,MINOR GASKET KIT P6,930
00050282,MINOR GASKET KIT P4,717
00050283,GASKET-P6 SUMP KIT,149
00050287,GASKET-P4(V)SUMP KIT,179
00050523,PIPE SET P3,620
00054397,MINOR GASKET KIT P3,633
00054993,SHAFT ROCKER ASSY P6,4671
00054994,SHAFT ROCKER ASSY P4,3643
00055377,P3 CYL.HEAD MINOR,14375
00058760,MAJOR GASKET KIT 6/354,1573
00068083,MAIN BEARING SET P3 & S3 STD AT,1055
00068128,EXPORT- S3 CYLINDER HEAD ASSY.,17694
00068131,CYLINDER HEAD ASSEMBLY FOR EXPORT,18456
00081558,BEARING,1139
00081879,SUMP GASKET KIT 6.354,674
00082889,MINOR GASKET KIT 6/354,1106
00084955,RING SET - STD,352
00095250,BOLT_CONNECTING_ROD,56
00095315,BOLT MAIN LEAK OFF PIPE BANJO,51
00096634,SETSCREW,26
00096638,SETSCREW,35
00100041,BRACKET_ENGINE_MOUNTING,1329
00100042,BRACKET_ENGINE_MOUNTING,1329
00100405,BRACKET FUEL PUMP P3,684
00140012,CAMSHAFT -P4,4179
00140013,CAMSHAFT -P6,5306
00150007,CAP COMBUSTION CHAMBER W/o Hole,440
00150008,CAP_VALVE_SPRING,49
00150060,CAP LUB OIL FILLER ASSEMBLY,137
00150093,CAP,25
00170001,CIRCLIP_GUDGEON_PIN,16
00170002,CIRCLIP,14
00170033,CIRCLIP_ROCKER_SHAFT,12
00180063,CLIP,29
00180064,CLIP,32
00180066,CLIP,32
00180067,CLIP,35
00180564,CLIP,14
00180831,CIRCLIP,6
00200091,HOSE BYPASS,32
00200092,CONNECTION HOSE WATER OUTLET BODY TO BYPASS,46
00200104,UNION BREATHER PIPE,53
00200151,UNION F.P.DRIVE HSG L.O.PIPE,24
00200986,HOSE WATER PUMP TO WATER MANIFOLD,131
00201047,CONNECTION,150
00201142,CONNECTION_WATER_OUTLET,310
00201443,CONNECTION WATER OUTLET,1072
00201528,CONNECTION HOSE,204
00202016,HOSE,106
00206002,UNION,26
00230001,COTTER_VALVE_SPRING,10
00240014,PLATE LUB OIL PUMP BOTTOM,168
00240085,RUBBER COVER STARTER MOTOR,35
00240200,COVER FUEL PUMP DRIVE HOUSING,192
00320081,DIPSTICK ASSY,59
00330501,DIST PIECE FPD SHAFT,62
00330505,SPACER,19
00330510,ROCKER_LEVER_DISTANCE_PIECE,29
00330517,DISTANCE PIECE ROCKER SHAFT,10
00330811,DISTANCE PIECE CRANKSHAFT GEAR,148
00330940,SPACER,17
3324E002,INSERT INLET VALVE SEAT,298
00340008,DOG-STARTER,226
00350005,DOWEL,7
00350009,DOWEL,10
00350015,DOWEL CYLINDER BLOCK TO OIL SEAL HOUSING,9
00350016,DOWEL,12
00350025,DOWEL BACK PLATE TO CYLINDER BLOCK,18
00360007,ADAPTOR FAN EXTENSION,467
00360045,EXTENSION_FAN,426
00360081,FAN 14 DIA. PULLER TYPE,1217
00360082,FAN,1216
00360084,FAN 17 DIA.PULLER TYPE,1226
00360086,FAN 18 DIA.PULLER TYPE,810
00360089,FAN 15 DIA.PUSHER TYPE,1217
00360091,FAN 17 DIA PUSHER TYPE,1226
00360092,FAN 20 DIA PUSHER,1259
00380001,FLANGE C'SHAFT OIL THROWER,62
00410132,GEAR_CRANK_SHAFT,957
00410236,RING_GEAR_STARTER,1305
00410241,GEAR_CAMSHAFT,939
00410264,RING_GEAR_STARTER,1470
00420002,VALVE GUIDE P3,45
00440003,HOUSING LUB OIL RELIEF VALVE,82
00440004,HOUSING LUB OIL PUMP,324
00440160,HOSING LUB OILPUMP GEAR,244
00470682,ADAPTOR,41
00490001,GASKET CYL HEAD,808
00490007,JOINT LO FILLER ADAPTER,9
00490016,JOINT,5
00490018,JOINT L.O.SUMP TO CYL BLOCK,163
