Part Number,Parts Description,Part Category,NDP,MRP,HSN Code,CGST Tax,SGST Tax,IGST Tax
67243,SILVERMIST GREY.,Accessories,344.44,584,32082090,9,9,18
67395,THINNER FOR STOV.ENAMEL/LS 114-BELL.,Accessories,176.7,310,38140010,9,9,18
2654408,LUB OIL FILTER WITH ORING.,ENGINE,110.11,187,84212300,9,9,18
70923816,O-RING,,34.2,60,40169330,9,9,18
450117012,FILTER.,Filters,1754.46,3078,84212300,9,9,18
1410107005,WASHER.,Fasteners,1.71,3,73181500,9,9,18
1427432000,BREATHER.,Engine,105.53,179,84139190,9,9,18
1450109042,O RING DIESEL FILTER.,Engine,11.4,20,84212300,9,9,18
1457434002,PRE FILTER FEED PUMP.,Filters,829.88,1407,84139190,9,9,18
1463456344,BANJO,Engine,287.28,504,84139190,9,9,18
2443355000,FITTING,Fasteners,206.34,362,84139190,9,9,18
2911161261,SCREW.,Fasteners,17.1,30,73181190,9,9,18
2911232700,SCREW.,Fasteners,13.68,24,73182990,9,9,18
2915021004,NUT,Fasteners,43.89,77,73180000,9,9,0
2916699137,LOCK WASHER.,Fasteners,10.83,19,73182200,9,9,18
2916710602,SEALING WASHER,ENGINE,4.28,7,74152100,9,9,18
2916710609,WASHER.,Fasteners,8.26,14,73182990,9,9,18
9400030644,F.I.PUMP.,ENGINE,23754.65,48479,84133010,9,9,18
9400030651,FUEL INJECTION PUMP.,Engine,24622.4,44768,84099990,14,14,28
9411033404,BANJO BOLT.,Fasteners,43.89,77,73181500,9,9,18
9411033412,AIRVENT SCREW.,Fasteners,21.66,38,73180000,9,9,0
9411038428,PUMPING ELEMENT.,Engine,825.36,1448,84139190,9,9,18
9411038578,DELIVERY VALVE.,ENGINE,425.79,747,84811000,9,9,18
9430032243,NOZZLE AND HOLDER ASSY,Engine,1076.9,1958,84099990,14,14,28
9430032265,INJECTOR ASSY.,ENGINE,2752.1,5004,84099930,14,14,28
9430034212,NOZZLE.,Engine,1075.8,1956,84099990,14,14,28
9430034285,NOZZLE.,Engine,731.5,1330,84099990,14,14,28
9440030028,ASSY. FEED PUMP.,ENGINE,2462.97,4321,84139190,9,9,18
9440030030,FEED PUMP,Engine,3462.12,5868,84139190,9,9,18
9440030033,Feed Pump.,Engine,1739.64,3052,84139190,9,9,18
9440037000,SUPPLY PUMP.,Engine,3091.11,5620,84099990,14,14,28
9441037202,HAND PRIMER.,Engine,217.74,382,84139190,9,9,18
9451035101,FILTER HOUSING.,Engine,842.46,1478,84212300,9,9,18
9451035524,FILTER COVER.,Engine,1080.23,1831,84212900,9,9,18
9451037404,PREFILTER INSERT.,Engine,140.82,239,84219900,9,9,18
9451037405,ELEMENT.,Engine,169.29,297,84212300,9,9,18
9451037407,ELEMENT.,ENGINE,190.77,323,84219900,9,9,18
9451037430,RELIEF VALVE.,Engine,106.02,186,84139190,9,9,18
9689035032,ADAPTOR WITH DIAL..,Engine,576.27,1011,73071190,9,9,18
7.20E+96,BATTERY CUT OFF SWITCH,,229.22,389,85369090,9,9,18
000014690A,Snap Ring,Fasteners,16.52,28,87085000,9,9,18
0000MX7066,ASSY. PIPE - LIFT PUMP TO FUEL FLOW,Engine,76.7,130,73062919,9,9,18
0000MX7128,PIPE ASSY,Engine,35.91,63,73062919,9,9,18
0000MX7129,PIPE ASSY,Engine,24.51,43,73062919,9,9,18
0000MX9511,SLEEVE,,164.16,288,87085000,9,9,18
0000MX9515,REAR AXLE SHAFT,Rear Transmission,3075.72,5396,87085000,9,9,18
0000MX9554,SHIM,Fasteners,6.84,12,87085000,9,9,18
0000MX9575,Drain Valve,Rear Transmission,43.33,73,87085000,9,9,18
0000MX9611,STEERING GEAR - EAGLE,Steering,8199.18,13897,87089400,9,9,18
0000SER001,AT15129 HYD.PUMP VALVE SEAT CHAM,Special Tools,828.84,1359,84678990,9,9,18
